H000000,For his defeat of what king of Caenina did Romulus earn the first ever Spolia Opima?,ACRON
H000001,Name the shepherd and his wife who discovered Romulus and Remus.,FAUSTULUS & ACCA LARENTIA
H000002,Who was the wife of Romulus?,HERSILIA
H000003,What woman was deified as the goddess Hora after the death of her husband Romulus?,HERSILIA
H000004,The Fetiales> Flamines> Pontices> and Vestal Virgins were among the priestly colleges established by which king of Rome?,NUMA POMPILIUS
H000005,Which king of Rome was said to receive prophecies from a water nymph named Egeria?,NUMA POMPILIUS
H000006,Who established a twelve month lunar calendar and established various priestly colleges during his peaceful reign as second king of Rome?,NUMA POMPILIUS
H000007,The consecration of the temple of Jupiter Elicius> the creation of a twelve month lunar calendar> and the insitution of twelve Salii all occurred during the reign of which Roman king?,NUMA POMPILIUS
H000008,Name the three original tribes of Rome which were established by Romulus.,RAMNES> TITIES> AND LUCERES
H000009,Who leapt over the Pomerium upon seeing six vultures and was killed instantly by his brother?,REMUS
H000010,Which king of Rome had a co-regent> a Sabine named Titus Tatius?,ROMULUS
H000011,Which king of Rome assumed the deified name Quirinus?,ROMULUS
H000012,What man> having seen 12 vultures fly overhead> interpreted that he would be the rightful king of Rome and killed his brother?,ROMULUS
H000013,Who killed Acron and earned the first ever Spolia Opima?,ROMULUS
H000014,Who attempted to populate the city of Rome by holding a festival in honor of the god Consus in order to attract the nearby Sabine women?,ROMULUS
H000015,Which king of Rome was raised by a shepherd named Faustulus and his wife Acca Larentia?,ROMULUS
H000016,What two bothers were raised by a she-wolf until they were discovered by the shepherd Faustulus and his wife?,ROMULUS & REMUS
H000017,What two young men killed Amulius and restored their grandfather Numitor to his rightful throne of Alba Longa?,ROMULUS & REMUS
H000018,Which king of Rome> often identified with the Etruscan hero Mastarna> took the first census> divided the city into four regions> and sourrounded its seven hills with a wall?,SERVIUS TULLIUS
H000019,What woman after treacherously allowing the Sabines into Rome was thrown from a rock which now bears her name?,TARPEIA
