E000000,Born in 63 BC> who was the first Roman emperor?,AUGUSTUS (or OCTAVIAN)
E000001,At what battle in 31 BC did Octavian defeat Antony and Cleopatra?,ACTIUM
E000002,Who was the second emperor of Rome?,TIBERIUS
E000003,Which emperor retreated to the island of Capri for the last decade of his reign?,TIBERIUS
E000004,Who was the powerful Praetorian Prefect executed by Tiberius in 31 AD?,SEJANUS
E000005,What was the childhood nickname of the emperor Gaius?,CALIGULA ("Little Boots")
E000006,Who was Caligula’s favorite sister> whom he deified?,DRUSILLA
E000007,Which emperor was found hiding behind a curtain after Caligula’s murder?,CLAUDIUS
E000008,Which wife of Claudius was executed for conspiring against him?,MESSALINA
E000009,Who was the mother of the emperor Nero?,AGRIPPINA THE YOUNGER
E000010,In what year did the Great Fire of Rome occur under Nero?,64 AD
E000011,What vast palace complex did Nero build after the Great Fire?,DOMUS AUREA (GOLDEN HOUSE)
E000012,Who was Nero’s tutor and advisor> whom he forced to commit suicide?,SENECA
E000013,Which general led the revolt against Nero in Gaul?,VINDEX
E000014,Who was the first emperor of the Year of the Four Emperors?,GALBA
E000015,Who defeated Otho at the First Battle of Bedriacum?,VITELLIUS
E000016,Which emperor was famous for his gluttony and was killed on the Gemonian Stairs?,VITELLIUS
E000017,Who founded the Flavian dynasty?,VESPASIAN
E000018,Which Jewish fortress fell to the Romans in 73 or 74 AD?,MASADA
E000019,Who was the eldest son of Vespasian?,TITUS
E000020,Which emperor completed the Colosseum?,TITUS
E000021,Which volcano erupted during the reign of Titus?,MOUNT VESUVIUS
E000022,Who was the brother of Titus who succeeded him?,DOMITIAN
E000023,What title> meaning "Lord and God>" did Domitian demand?,DOMINUS ET DEUS
E000024,Who assassinated Domitian in 96 AD?,STEPHANUS
E000025,Who was the first of the "Five Good Emperors"?,NERVA
E000026,Who did Nerva adopt as his successor?,TRAJAN
E000027,Where was Trajan born?,ITALICA (Spain)
E000028,Which region north of the Danube did Trajan conquer?,DACIA
E000029,What monument in Rome commemorates Trajan's Dacian wars?,TRAJAN'S COLUMN
E000030,Who was Trajan's wife?,PLOTINA
E000031,At which city in Cilicia did Trajan die?,SELINUS
E000032,Which emperor succeeded Trajan?,HADRIAN
E000033,Who was Hadrian's beloved Greek youth who drowned in the Nile?,ANTINOUS
E000034,What defensive structure did Hadrian build in northern Britain?,HADRIAN'S WALL
E000035,Where did Hadrian build his massive villa complex?,TIVOLI
E000036,Who was Hadrian's wife?,SABINA
E000037,Which emperor was known as "Pius"?,ANTONINUS PIUS
E000038,Who was the wife of Antoninus Pius?,FAUSTINA THE ELDER
E000039,What wall was built in Scotland during the reign of Antoninus Pius?,ANTONINE WALL
E000040,Which philosopher-emperor wrote the Meditations?,MARCUS AURELIUS
E000041,Who was the co-emperor of Marcus Aurelius until 169 AD?,LUCIUS VERUS
E000042,Who was the wife of Marcus Aurelius?,FAUSTINA THE YOUNGER
E000043,During which wars did Marcus Aurelius die?,MARCOMANNIC WARS
E000044,Where did Marcus Aurelius die in 180 AD?,VINDOBONA (Vienna) or SIRMIUM
E000045,Who was the son and successor of Marcus Aurelius?,COMMODUS
E000046,Which emperor enjoyed fighting as a gladiator?,COMMODUS
E000047,Who was the mistress who helped assassinate Commodus?,MARCIA
E000048,Which wrestler strangled Commodus?,NARCISSUS
E000049,Which emperor reigned for only 87 days after Commodus?,PERTINAX
E000050,Who bought the empire at an auction in 193 AD?,DIDIUS JULIANUS
E000051,Who defeated Didius Julianus and founded the Severan dynasty?,SEPTIMIUS SEVERUS
E000052,Where was Septimius Severus born?,LEPTIS MAGNA
E000053,Who was the powerful Syrian wife of Septimius Severus?,JULIA DOMNA
E000054,Which rival did Severus defeat at the Battle of Issus?,PESCENNIUS NIGER
E000055,Which rival did Severus defeat at the Battle of Lugdunum?,CLODIUS ALBINUS
E000056,Where did Septimius Severus die in 211 AD?,EBORACUM (York)
E000057,Who were the two sons of Septimius Severus?,CARACALLA AND GETA
E000058,Which emperor murdered his brother Geta?,CARACALLA
