M000000,What is the meaning of the Latin word `cras`?,TOMORROW
M000001,What is the meaning of the Latin word `heri`?,YESTERDAY
M000002,What is the meaning of the Latin word `postridie`?,THE DAY AFTER; ON THE FOLLOWING DAY
M000003,What Roman emperor thought he was a reincarnation of Hercules?,COMMODUS
M000004,Who was the father of Commodus and emperor until 180 AD?,MARCUS AURELIUS
M000005,What was the name of Commodus' mistress> believed to have been a Christian?,MARCIA
M000006,Who gave birth in a cave in Arcadia to a son of Zeus who would prove to be the world's most cunning thief by stealing his older brother's cattle?,MAIA
M000007,What Titan> the brother of Prometheus and Epimetheus> was the father of Maia? His name is the origin of both the name of an African mountain range and the term for a book of maps.,ATLAS
M000008,What was the name of the daughters of Atlas who tended Hera's golden apples in a garden on the edge of the world?,HESPERIDES
M000009,Change the phrase duo servi to the accusative singular.,UNUM SERVUM
M000010,Change the phrase unam feminam to the nominative plural.,DUAE FEMINAE
M000011,Change the phrase duae feminae to the ablative.,DUABUS FEMINIS
M000012,What Greek goddess was often called `Cytherea` and `Cypris` after the two islands where she was believed to have first washed ashore after being from sea foam?,APHRODITE
M000013,What Greek goddess was often called `Pallas` after the name of a childhood friend whom she had accidentally killed?,ATHENA
M000014,What Greek god did the Romans often call `liber>` meaning `free>` presumably because of one of the effects of his favorite drink?,DIONYSUS; BACCHUS
M000015,Translate the following sentence into Latin: Bad men do not have good fields.,MALI VIRI NON AGROS BONOS HABENT
M000016,Change the subject in that sentence to the singular.,MALUS VIR
M000017,Now say in Latin: The daughter of the bad poet loves money.,FILIA MALI POETAE PECUNIAM AMAT
M000018,What is the Latin motto of Virginia> which translates into English as `thus always to tyrants`?,SIC SEMPER TYRANNIS
M000019,What is the Latin motto of South Carolina> which translates as `while I breathe> I hope`?,DUM SPIRO SPERO
M000020,What is the Latin motto of Arkansas> which translates as `the populace rules`?,REGNAT POPULUS
M000021,In Homer's Odyssey> what faithful wife continually delayed remarrying until her husband Odysseus finally got home?,PENELOPE
M000022,Name the couple's son> who fended off his mother's suitors alongside Odysseus.,TELEMACHUS
M000023,After how many years did Odysseus return home?,20; TWENTY
M000024,At what battle in 9 AD were the three Roman legions annihilated by the Germanic leader Arminius?,TEUTOBERG FOREST
M000025,To what tribe did Arminius belong?,CHERUSCI
M000026,What was the name of the Roman Commander who led the three legions which were annihilated?,QUINCTILIUS VARUS
M000027,From what first conjugation verb with what meaning do we derive the Spanish word `amigo`?,AMO> -ARE> TO LOVE
M000028,Give the two Latin words> and their meanings> from which we derive the English word `congrats.`,CUM —WITH; GRATUS —PLEASING (OR GRATIA —PRAISE) DATIVE ABLATIVE
M000029,What use of the ablative can be found in that sentence?,ACCOMPANIMENT
M000030,What use of the ablative is found in the following sentence: Aemilia ex villa currebat.,PLACE FROM WHICH
M000031,What use of the ablative is found in the following sentence: Aemilia timore sedebat.,MANNER
M000032,What use of the ablative case can be found in this sentence: Gladiator murum pulsis pulsat.,MEANS AND ACCOMPANIMENT
M000033,Whom did Achilles drag around the walls of Troy after killing him for taking the life of Achilles' lover> Patroclus?,HECTOR
M000034,The father of both Paris and Hector later ventured into Achilles' tent to beg for his eldest son's body. Name him.,PRIAM
M000035,It would have been virtually impossible for Priam to make it to Achiles' tent by himself. What divinity aided him in concealing himself from the guards?,HERMES
M000036,What type of Roman building> subdivided into cenacula> is analogous to our modern-day apartment building?,INSULA
M000037,In nicer insulae> the ground floor was rented out to one tenant> similar to a modern-day penthouse. What is the term for the collection of shops in humbler insulae ?,TABERNAE
M000038,Insulae often caught on fire. What was the name of Roman firemen> who also served as watchmen and policemen?,VIGILES
M000039,What war of the Roman Republic began with the capture of Messana and ended with Rome's victory at Aegates Islands in 241 BC?,FIRST PUNIC WAR
M000040,Give the year in which the First Punic War began,264 BC
M000041,What maritime device did Duilius devise for defeating the Carthaginians at sea?,THE CORVUS
M000042,Translate the following sentence into English: Agricola multos equos in agro suo habebat.,THE FARMER HAD MANY HORSES IN HIS FIELD
M000043,Translate: Ager agricolae latus est.,THE FARMER'S FIELD IS WIDE
M000044,Now make everything in that sentence plural.,AGRI AGRICOLARUM LATI SUNT
M000045,Differentiate in meaning between `timeo` and `terreo`.,`TIMEO` MEANS `I FEAR`; `TERREO` MEANS `I FRIGHTEN`
M000046,Differentiate in meaning between `vito` and `vivo`.,`VITO` MEANS `I AVOID`; `VIVO` MEANS `I LIVE`
M000047,Differentiate in meaning between `infra` and `intra`.,`INFRA` MEANS `BELOW`; `INTRA` MEANS `WITHIN`
M000048,What emperor emerged from the era of barracks emperors and established tetrarchy> a rule of four joint emperors> in the late 3rd century A.D.?,DIOCLETIAN
M000049,Who co-ruled with Diocletian in the west?,MAXIMIAN
M000050,Name one of the two men who ruled as Caesar in the original tetrarchy.,CONSTANTIUS CHRLOUS; GALLERIUS
M000051,What was the name of the war that Zeus conducted against his father's race?,TITANOMACHY
M000052,With what wise Titaness did Zeus later lay> immediately leading him to fear the consequences of producing a son greater than himself?,METIS
M000053,Which mate of Zeus bore the Muses?,MNEMOSYNE
M000054,For the verb video> videre> give the second person singular> perfect> active indicative.,VIDISTI
M000055,Change the verb vidisti to the imperfect tense.,VIDEBAS
M000056,Change videbas to the passive voice,VIDEBARIS
M000057,Which of a Roman's three names indicated his gens ?,NOMEN
M000058,Which of his names was equivalent to a first name?,PRAENOMEN
M000059,What sort of name did Romans receive for performing a great deed?,AGNOMEN 2011 CHAMPIONS' LEAGUE OF CERTAMEN AT YALE UNIVERSITY NOVICE DIVISION ROUND THREE
M000060,Translate the following sentence into Latin: The gods and goddesses save the best men.,DEI ET DEAE OPTIMOS VIROS SERVANT
M000061,Now say in Latin: The gods and goddesses want to save the best men.,DEI ET DEAE OPTIMOS VIROS SERVARE DESIDERANT; DEI ET DEAE OPTIMOS VIROS SERVARE VOLUNT
M000062,What type of infinitive is the word servare in that sentence?,COMPLEMENTARY
